actor_id,actor,year,award_id,award,film
4449,ANGELINA JOLIE,1999,15,Actress in a Supporting Role,"Girl, Interrupted"
4513,MARCIA GAY HARDEN,2000,15,Actress in a Supporting Role,Pollock
4578,JENNIFER CONNELLY,2001,15,Actress in a Supporting Role,A Beautiful Mind
4635,CATHERINE ZETA-JONES,2002,15,Actress in a Supporting Role,Chicago
4827,RACHEL WEISZ,2005,15,Actress in a Supporting Role,The Constant Gardener
4892,JENNIFER HUDSON,2006,15,Actress in a Supporting Role,Dreamgirls
4963,TILDA SWINTON,2007,15,Actress in a Supporting Role,Michael Clayton
5226,OCTAVIA SPENCER,2011,15,Actress in a Supporting Role,The Help
5354,LUPITA NYONG'O,2013,15,Actress in a Supporting Role,12 Years a Slave
5425,PATRICIA ARQUETTE,2014,15,Actress in a Supporting Role,Boyhood
5496,ALICIA VIKANDER,2015,15,Actress in a Supporting Role,The Danish Girl
4581,SHREK ,2001,16,Animated Feature Film,Aron Warner
4639,SPIRITED AWAY ,2002,16,Animated Feature Film,Hayao Miyazaki
4700,FINDING NEMO ,2003,16,Animated Feature Film,Andrew Stanton
4758,THE INCREDIBLES ,2004,16,Animated Feature Film,Brad Bird
4895,HAPPY FEET ,2006,16,Animated Feature Film,George Miller
4965,RATATOUILLE ,2007,16,Animated Feature Film,Brad Bird
5034,WALL-E ,2008,16,Animated Feature Film,Andrew Stanton
5162,TOY STORY 3 ,2010,16,Animated Feature Film,Lee Unkrich
5231,RANGO ,2011,16,Animated Feature Film,Gore Verbinski
5291,BRAVE ,2012,16,Animated Feature Film,Mark Andrews and Brenda Chapman
5359,FROZEN ,2013,16,Animated Feature Film,"Chris Buck, Jennifer Lee and Peter Del Vecho"
5427,BIG HERO 6 ,2014,16,Animated Feature Film,"Don Hall, Chris Williams and Roy Conli"
5499,INSIDE OUT,2015,16,Animated Feature Film,Pete Docter and Jonas Rivera
9,THE MERRY WIDOW ,1934,17,Art Direction,"Cedric Gibbons, Fredric Hope"
45,THE DARK ANGEL ,1935,17,Art Direction,Richard Day
106,DODSWORTH ,1936,17,Art Direction,Richard Day
172,LOST HORIZON ,1937,17,Art Direction,Stephen Goosson
234,THE ADVENTURES OF ROBIN HOOD ,1938,17,Art Direction,Carl J. Weyl
318,GONE WITH THE WIND ,1939,17,Art Direction,Lyle Wheeler
3263,TESS ,1980,17,Art Direction,"Art Direction: Pierre Guffroy, Jack Stephens"
3421,FANNY & ALEXANDER ,1983,17,Art Direction,Anna Asp
4184,RESTORATION ,1995,17,Art Direction,Eugenio Zanetti
4515,"CROUCHING TIGER, HIDDEN DRAGON ",2000,17,Art Direction,Tim Yip
399,PRIDE AND PREJUDICE ,1940,18,Art Direction (Black and White),"Cedric Gibbons, Paul Groesse"
1596,ON THE WATERFRONT ,1954,18,Art Direction (Black and White),Richard Day
2195,AMERICA AMERICA ,1963,18,Art Direction (Black and White),Gene Callahan
2263,ZORBA THE GREEK ,1964,18,Art Direction (Black and White),Vassilis Fotopoulos
406,THE THIEF OF BAGDAD ,1940,19,Art Direction (Color),Vincent Korda
12,VIVA VILLA! ,1934,20,Assistant Director,John Waters
112,THE CHARGE OF THE LIGHT BRIGADE ,1936,20,Assistant Director,Jack Sullivan
179,IN OLD CHICAGO ,1937,20,Assistant Director,Robert Webb
4316,JOE LOMBARDI,1996,21,Award of Commendation,
4506,"FPC, INCORPORATED",1999,21,Award of Commendation,
4569,"IOAN ALLEN, ROBIN BRANSBURY AND MARK HARRAH",2000,21,Award of Commendation,
4626,RUNE ERICSON,2001,21,Award of Commendation,
4814,ARTHUR WIDMER,2004,21,Award of Commendation,
5021,JONATHAN ERLAND,2007,21,Award of Commendation,
5488,"STEVEN TIFFEN, JEFF COHEN AND MICHAEL FECIK",2014,21,Award of Commendation,
181,THE GOOD EARTH ,1937,24,Cinematography,Karl Freund
246,THE GREAT WALTZ ,1938,24,Cinematography,Joseph Ruttenberg
1814,THE BRIDGE ON THE RIVER KWAI ,1957,24,Cinematography,Jack Hildyard
2472,BONNIE AND CLYDE ,1967,24,Cinematography,Burnett Guffey
2595,BUTCH CASSIDY AND THE SUNDANCE KID ,1969,24,Cinematography,Conrad Hall
2651,RYAN'S DAUGHTER ,1970,24,Cinematography,Freddie Young
2828,CRIES AND WHISPERS ,1973,24,Cinematography,Sven Nykvist
3012,BOUND FOR GLORY ,1976,24,Cinematography,Haskell Wexler
3135,DAYS OF HEAVEN ,1978,24,Cinematography,Nestor Almendros
3488,THE KILLING FIELDS ,1984,24,Cinematography,Chris Menges
3742,MISSISSIPPI BURNING ,1988,24,Cinematography,Peter Biziou
3932,JFK ,1991,24,Cinematography,Robert Richardson
3993,A RIVER RUNS THROUGH IT ,1992,24,Cinematography,Philippe Rousselot
4187,BRAVEHEART ,1995,24,Cinematography,John Toll
4458,AMERICAN BEAUTY ,1999,24,Cinematography,Conrad L. Hall
5041,SLUMDOG MILLIONAIRE ,2008,24,Cinematography,Anthony Dod Mantle
5298,LIFE OF PI ,2012,24,Cinematography,Claudio Miranda
5362,GRAVITY ,2013,24,Cinematography,Emmanuel Lubezki
605,MRS. MINIVER ,1942,25,Cinematography (Black and White),Joseph Ruttenberg
1167,THE NAKED CITY ,1948,25,Cinematography (Black and White),William Daniels
1235,BATTLEGROUND ,1949,25,Cinematography (Black and White),Paul C. Vogel
1311,THE THIRD MAN ,1950,25,Cinematography (Black and White),Robert Krasker
1382,A PLACE IN THE SUN ,1951,25,Cinematography (Black and White),William C. Mellor
1523,FROM HERE TO ETERNITY ,1953,25,Cinematography (Black and White),Burnett Guffey
1871,THE DEFIANT ONES ,1958,25,Cinematography (Black and White),Sam Leavitt
609,THE BLACK SWAN ,1942,26,Cinematography (Color),Leon Shamroy
1241,SHE WORE A YELLOW RIBBON ,1949,26,Cinematography (Color),Winton Hoch
1314,KING SOLOMON'S MINES ,1950,26,Cinematography (Color),Robert Surtees
1526,SHANE ,1953,26,Cinematography (Color),Loyal Griggs
1607,THREE COINS IN THE FOUNTAIN ,1954,26,Cinematography (Color),Milton Krasner
2411,A MAN FOR ALL SEASONS ,1966,26,Cinematography (Color),Ted Moore
2653,CROMWELL ,1970,27,Costume Design,Nino Novarese
2892,THE GREAT GATSBY ,1974,27,Costume Design,Theoni V. Aldredge
3015,FELLINI'S CASANOVA ,1976,27,Costume Design,Danilo Donati
3139,DEATH ON THE NILE ,1978,27,Costume Design,Anthony Powell
3320,CHARIOTS OF FIRE ,1981,27,Costume Design,Milena Canonero
4976,ELIZABETH: THE GOLDEN AGE ,2007,27,Costume Design,Alexandra Byrne
2340,DARLING ,1965,28,Costume Design (Black and White),Julie Harris
1611,GATE OF HELL ,1954,29,Costume Design (Color),Sanzo Wada
14,IT HAPPENED ONE NIGHT ,1934,31,Directing,Frank Capra
61,THE INFORMER ,1935,31,Directing,John Ford
121,MR. DEEDS GOES TO TOWN ,1936,31,Directing,Frank Capra
184,THE AWFUL TRUTH ,1937,31,Directing,Leo McCarey
416,THE GRAPES OF WRATH ,1940,31,Directing,John Ford
1034,THE BEST YEARS OF OUR LIVES ,1946,31,Directing,William Wyler
1102,GENTLEMAN'S AGREEMENT ,1947,31,Directing,Elia Kazan
1176,THE TREASURE OF THE SIERRA MADRE ,1948,31,Directing,John Huston
1245,A LETTER TO THREE WIVES ,1949,31,Directing,Joseph L. Mankiewicz
2598,MIDNIGHT COWBOY ,1969,31,Directing,John Schlesinger
2658,MA*S*H ,1970,31,Directing,Robert Altman
3019,ROCKY ,1976,31,Directing,John G. Avildsen
3077,ANNIE HALL ,1977,31,Directing,Woody Allen
3270,ORDINARY PEOPLE ,1980,31,Directing,Robert Redford
3937,THE SILENCE OF THE LAMBS ,1991,31,Directing,Jonathan Demme
4526,TRAFFIC ,2000,31,Directing,Steven Soderbergh
4589,A BEAUTIFUL MIND ,2001,31,Directing,Ron Howard
4770,MILLION DOLLAR BABY ,2004,31,Directing,Clint Eastwood
4909,THE DEPARTED ,2006,31,Directing,Martin Scorsese
614,THE BATTLE OF MIDWAY ,1942,32,Documentary,United States Navy
623,KOKODA FRONT LINE! ,1942,32,Documentary,Australian News & Information Bureau
629,MOSCOW STRIKES BACK ,1942,32,Documentary,Artkino
631,PRELUDE TO WAR ,1942,32,Documentary,United States Army Special Services
722,DESERT VICTORY ,1943,33,Documentary (Feature),British Ministry of Information
840,THE FIGHTING LADY ,1944,33,Documentary (Feature),United States Navy
1178,THE SECRET LAND ,1948,33,Documentary (Feature),"Orville O. Dull, Producer"
1246,DAYBREAK IN UDI ,1949,33,Documentary (Feature),Crown Film Unit
1319,THE TITAN: STORY OF MICHELANGELO ,1950,33,Documentary (Feature),"Robert Snyder, Producer"
1393,KON-TIKI ,1951,33,Documentary (Feature),"Olle Nordemar, Producer"
1455,THE SEA AROUND US ,1952,33,Documentary (Feature),"Irwin Allen, Producer"
1534,THE LIVING DESERT ,1953,33,Documentary (Feature),"Walt Disney, Producer"
1615,THE VANISHING PRAIRIE ,1954,33,Documentary (Feature),"Walt Disney, Producer"
1687,HELEN KELLER IN HER STORY ,1955,33,Documentary (Feature),"Nancy Hamilton, Producer"
1753,THE SILENT WORLD ,1956,33,Documentary (Feature),"Jacques-Yves Cousteau, Producer"
1818,ALBERT SCHWEITZER ,1957,33,Documentary (Feature),"Jerome Hill, Producer"
1884,WHITE WILDERNESS ,1958,33,Documentary (Feature),"Ben Sharpsteen, Producer"
1950,SERENGETI SHALL NOT DIE ,1959,33,Documentary (Feature),"Bernhard Grzimek, Producer"
2013,THE HORSE WITH THE FLYING TAIL ,1960,33,Documentary (Feature),"Larry Lansburgh, Producer"
2149,BLACK FOX ,1962,33,Documentary (Feature),"Louis Clyde Stoumen, Producer"
2278,JACQUES-YVES COUSTEAU'S WORLD WITHOUT SUN ,1964,33,Documentary (Feature),"Jacques-Yves Cousteau, Producer"
2344,THE ELEANOR ROOSEVELT STORY ,1965,33,Documentary (Feature),"Sidney Glazier, Producer"
2421,THE WAR GAME ,1966,33,Documentary (Feature),"Peter Watkins, Producer"
2477,THE ANDERSON PLATOON ,1967,33,Documentary (Feature),"Pierre Schoendoerffer, Producer"
2535,JOURNEY INTO SELF ,1968,33,Documentary (Feature),"Bill McGaw, Producer"
2600,ARTHUR RUBINSTEIN - THE LOVE OF LIFE ,1969,33,Documentary (Feature),"Bernard Chevry, Producer"
2663,WOODSTOCK ,1970,33,Documentary (Feature),"Bob Maurice, Producer"
2720,THE HELLSTROM CHRONICLE ,1971,33,Documentary (Feature),"Walon Green, Producer"
2777,MARJOE ,1972,33,Documentary (Feature),"Howard Smith and Sarah Kernochan, Producers"
2835,THE GREAT AMERICAN COWBOY ,1973,33,Documentary (Feature),"Kieth Merrill, Producer"
2897,HEARTS AND MINDS ,1974,33,Documentary (Feature),"Peter Davis and Bert Schneider, Producers"
3021,"HARLAN COUNTY, U.S.A. ",1976,33,Documentary (Feature),"Barbara Kopple, Producer"
3146,SCARED STRAIGHT! ,1978,33,Documentary (Feature),"Arnold Shapiro, Producer"
3203,BEST BOY ,1979,33,Documentary (Feature),"Ira Wohl, Producer"
3274,FROM MAO TO MOZART: ISAAC STERN IN CHINA ,1980,33,Documentary (Feature),"Murray Lerner, Producer"
3382,JUST ANOTHER MISSING KID ,1982,33,Documentary (Feature),"John Zaritsky, Producer"
3437,HE MAKES ME FEEL LIKE DANCIN' ,1983,33,Documentary (Feature),"Emile Ardolino, Producer"
3556,BROKEN RAINBOW ,1985,33,Documentary (Feature),"Maria Florio and Victoria Mudd, Producers"
3623,ARTIE SHAW: TIME IS ALL YOU'VE GOT ,1986,33,Documentary (Feature),"Brigitte Berman, Producer"
3625,DOWN AND OUT IN AMERICA ,1986,33,Documentary (Feature),"Joseph Feury and Milton Justice, Producers"
3815,COMMON THREADS: STORIES FROM THE QUILT ,1989,33,Documentary (Feature),"Robert Epstein and Bill Couturié, Producers"
3873,AMERICAN DREAM ,1990,33,Documentary (Feature),"Barbara Kopple and Arthur Cohn, Producers"
3940,IN THE SHADOW OF THE STARS ,1991,33,Documentary (Feature),"Allie Light and Irving Saraf, Producers"
4001,THE PANAMA DECEPTION ,1992,33,Documentary (Feature),"Barbara Trent and David Kasper, Producers"
4126,MAYA LIN: A STRONG CLEAR VISION ,1994,33,Documentary (Feature),"Freida Lee Mock, Terry Sanders"
4194,ANNE FRANK REMEMBERED ,1995,33,Documentary (Feature),Jon Blair
4270,WHEN WE WERE KINGS ,1996,33,Documentary (Feature),"Leon Gast, David Sonenberg"
4343,THE LONG WAY HOME ,1997,33,Documentary (Feature),"Rabbi Marvin Hier, Richard Trank"
4404,THE LAST DAYS ,1998,33,Documentary (Feature),"James Moll, Ken Lipper"
4468,ONE DAY IN SEPTEMBER ,1999,33,Documentary (Feature),"Arthur Cohn, Kevin Macdonald"
4593,MURDER ON A SUNDAY MORNING ,2001,33,Documentary (Feature),"Jean-Xavier de Lestrade, Denis Poncet"
4650,BOWLING FOR COLUMBINE ,2002,33,Documentary (Feature),"Michael Moore, Michael Donovan"
4713,THE FOG OF WAR ,2003,33,Documentary (Feature),Errol Morris and Michael Williams
4773,BORN INTO BROTHELS ,2004,33,Documentary (Feature),Ross Kauffman and Zana Briski
4847,MARCH OF THE PENGUINS ,2005,33,Documentary (Feature),Luc Jacquet and Yves Darondeau
4913,AN INCONVENIENT TRUTH ,2006,33,Documentary (Feature),Davis Guggenheim
4983,TAXI TO THE DARK SIDE ,2007,33,Documentary (Feature),Alex Gibney and Eva Orner
5048,MAN ON WIRE ,2008,33,Documentary (Feature),James Marsh and Simon Chinn
5113,THE COVE ,2009,33,Documentary (Feature),Louie Psihoyos and Fisher Stevens
5174,INSIDE JOB ,2010,33,Documentary (Feature),Charles Ferguson and Audrey Marrs
5247,UNDEFEATED ,2011,33,Documentary (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas"
5311,SEARCHING FOR SUGAR MAN ,2012,33,Documentary (Feature),Malik Bendjelloul and Simon Chinn
5512,AMY,2015,33,Documentary (Feature),Asif Kapadia and James Gay-Rees
499,CHURCHILL'S ISLAND ,1941,35,Documentary (Short Subject),National Film Board of Canada
731,DECEMBER 7TH ,1943,35,Documentary (Short Subject),United States Navy
844,WITH THE MARINES AT TARAWA ,1944,35,Documentary (Short Subject),United States Marine Corps
942,HITLER LIVES? ,1945,35,Documentary (Short Subject),"Gordon Hollingshead, Producer"
1041,SEEDS OF DESTINY ,1946,35,Documentary (Short Subject),United States Department of War
1181,TOWARD INDEPENDENCE ,1948,35,Documentary (Short Subject),United States Army
1248,A CHANCE TO LIVE ,1949,35,Documentary (Short Subject),"Richard de Rochemont, Producer"
1251,SO MUCH FOR SO LITTLE ,1949,35,Documentary (Short Subject),"Edward Selzer, Producer"
1323,WHY KOREA? ,1950,35,Documentary (Short Subject),"Edmund Reek, Producer"
1459,NEIGHBOURS ,1952,35,Documentary (Short Subject),"Norman McLaren, Producer"
1536,THE ALASKAN ESKIMO ,1953,35,Documentary (Short Subject),"Walt Disney, Producer"
1618,THURSDAY'S CHILDREN ,1954,35,Documentary (Short Subject),World Wide Pictures and Morse Films
1690,MEN AGAINST THE ARCTIC ,1955,35,Documentary (Short Subject),"Walt Disney, Producer"
1759,THE TRUE STORY OF THE CIVIL WAR ,1956,35,Documentary (Short Subject),"Louis Clyde Stoumen, Producer"
1885,AMA GIRLS ,1958,35,Documentary (Short Subject),"Ben Sharpsteen, Producer"
1953,GLASS ,1959,35,Documentary (Short Subject),"Bert Haanstra, Producer"
2018,GIUSEPPINA ,1960,35,Documentary (Short Subject),"James Hill, Producer"
2083,PROJECT HOPE ,1961,35,Documentary (Short Subject),"Frank P. Bibas, Producer"
